code,start,end,rain_gauge_mm,rain_idw_mm,VWC_005_before,VWC_005_delta_next,VWC_005_peak3_delta,VWC_020_before,VWC_020_delta_next,VWC_020_peak3_delta,VWC_050_before,VWC_050_delta_next,VWC_050_peak3_delta,idw_hg_one_total_before_pct,idw_hg_one_total_delta_next_pp,idw_hg_one_total_peak3_delta_pp,idw_hg_surface_lower_before_pct,idw_hg_surface_lower_delta_next_pp,idw_hg_surface_lower_peak3_delta_pp,idw_pm_one_total_before_pct,idw_pm_one_total_delta_next_pp,idw_pm_one_total_peak3_delta_pp,idw_pm_surface_lower_before_pct,idw_pm_surface_lower_delta_next_pp,idw_pm_surface_lower_peak3_delta_pp,gauge_hg_one_total_before_pct,gauge_hg_one_total_delta_next_pp,gauge_hg_one_total_peak3_delta_pp,gauge_hg_surface_lower_before_pct,gauge_hg_surface_lower_delta_next_pp,gauge_hg_surface_lower_peak3_delta_pp,gauge_pm_one_total_before_pct,gauge_pm_one_total_delta_next_pp,gauge_pm_one_total_peak3_delta_pp,gauge_pm_surface_lower_before_pct,gauge_pm_surface_lower_delta_next_pp,gauge_pm_surface_lower_peak3_delta_pp
RDS,2026-08-09,2026-08-09,1.5,0.7326534800048156,0.05952083333333333,-0.0002708333333333243,0.0004583333333333453,0.1525,-0.002104166666666657,-0.0018958333333333188,0.18799999999999997,-0.0005625000000000213,-0.00027083333333333126,1.7664023648036609,0.4738205652791141,0.4738205652791141,2.8053922705261546e-07,-7.01665920212781e-08,-7.01665920212781e-08,1.911061184989364,0.5614877769475015,0.5614877769475015,8.846234471569422e-07,-1.9522761090770914e-07,-1.9522761090770914e-07,0.477965959188272,2.048697961024475,2.048697961024475,2.8053922705261546e-07,-7.01665920212781e-08,-7.01665920212781e-08,0.5239742550099417,2.184498685821671,2.184498685821671,8.846234471569422e-07,-1.9522761090770914e-07,-1.9522761090770914e-07
RDS,2026-08-20,2026-08-20,2.5,1.1037229540850213,0.05841666666666667,-0.003229166666666672,-0.00010416666666666213,0.1484375,-0.0028958333333333475,-0.0028958333333333475,0.18731250000000002,-2.7755575615628914e-17,-2.7755575615628914e-17,5.322050087003984,2.0644393402255288,2.0644393402255288,6.705125276454145e-08,-1.0324305811125277e-08,-1.0324305811125277e-08,5.987512258871787,1.9200813765650455,1.9200813765650455,2.5441579621412455e-07,-3.893186249025819e-08,-3.893186249025819e-08,0.45464660606898455,4.528180240497517,4.528180240497517,6.705125276454145e-08,-1.0324305811125277e-08,-1.0324305811125277e-08,0.6072081968178377,4.501366572838284,4.501366572838284,2.5441579621412455e-07,-3.893186249025819e-08,-3.893186249025819e-08
RDS,2026-08-24,2026-08-24,2.1,0.965404941198916,0.05831250000000001,-0.0010625000000000079,0.0014374999999999943,0.1440625,-0.002166666666666678,-0.0011250000000000149,0.18479166666666666,-0.0006041666666666834,-0.0006041666666666834,5.703504850509436,0.44747887665084196,0.44747887665084196,4.774470711815301e-08,-7.336791800028976e-09,-7.336791800028976e-09,6.282133356886803,0.4460539618835062,0.4460539618835062,1.848375062475013e-07,-2.640842979698328e-08,-2.640842979698328e-08,3.8475079899085634,2.8683948451685852,2.8683948451685852,4.774470711815301e-08,-7.336791800028976e-09,-7.336791800028976e-09,4.058472077116815,2.953720107544661,2.953720107544661,1.848375062475013e-07,-2.640842979698328e-08,-2.640842979698328e-08
CDLP,2026-08-06,2026-08-10,10.799999999999999,11.702833183682804,,,,0.11442452083333333,-0.00044424999999999326,-6.752083333333436e-05,0.0782140625,-0.0010256708333333392,-0.0010256708333333392,6.291874464791068,5.598855730056549,5.598855730056549,0.00016151380988412895,-8.455477007909975e-05,-8.455477007909975e-05,6.6148522913240955,5.705731847242922,5.705731847242922,0.0002851955260132279,-0.00014563284824939667,-0.00014563284824939667,1.933640507987718,9.021678072158442,9.021678072158442,0.00016151380988412895,-8.455477007909975e-05,-8.455477007909975e-05,2.037909485673043,9.1603684361964,9.1603684361964,0.0002851955260132279,-0.00014563284824939667,-0.00014563284824939667
CDLP,2026-08-14,2026-08-14,5.8999999999999995,1.8574378490764074,,,,0.114357,-0.00021687500000000526,0.0003570416666666687,0.07702062708333333,-0.0008314833333333271,-0.0008314833333333271,8.05891445690403,0.37625057118161465,0.37625057118161465,5.93797440309164e-05,-1.1335544557127736e-05,-1.1335544557127736e-05,8.26273835143762,0.36740558917913724,0.36740558917913724,0.00010692955546727803,-2.009965398686641e-05,-2.009965398686641e-05,7.424941432426529,6.142214308420211,6.142214308420211,5.93797440309164e-05,-1.1335544557127736e-05,-1.1335544557127736e-05,7.510069280355533,6.1930953959886414,6.1930953959886414,0.00010692955546727803,-2.009965398686641e-05,-2.009965398686641e-05
CDLP,2026-08-20,2026-08-20,2.2,2.7534151798599527,,,,0.11508189583333334,5.791666666665751e-05,5.791666666665751e-05,0.075175475,-0.00038588958333332646,-0.00038588958333332646,5.559054053658114,5.1191227317343895,5.1191227317343895,3.4120266820740455e-05,-4.354448851143888e-06,-4.354448851143888e-06,5.412641791681734,5.050825595926572,5.050825595926572,5.9744546362529345e-05,-7.982676075410335e-06,-7.982676075410335e-06,8.119812416124955,2.2501796393184517,2.2501796393184517,3.4120266820740455e-05,-4.354448851143888e-06,-4.354448851143888e-06,7.821036564911759,2.2037660320902264,2.2037660320902264,5.9744546362529345e-05,-7.982676075410335e-06,-7.982676075410335e-06
CDLP,2026-08-24,2026-08-24,25.1,11.369556668344048,,,,0.11489364583333335,0.10254397916666665,0.10254397916666665,0.07330309166666667,0.005105393750000006,0.005105393750000006,8.748118725225806,16.237394424367267,16.237394424367267,2.6061307230501023e-05,-3.176026132215293e-06,-3.176026132215293e-06,8.643632395707614,16.781711446751856,16.781711446751856,4.5571193459351947e-05,-4.992236220666131e-06,-4.992236220666131e-06,8.807140437441891,37.94417876171573,37.94417876171573,2.6061307230501023e-05,24.908184009493308,24.908184009493308,8.595359205328549,38.94971147183542,38.94971147183542,4.5571193459351947e-05,25.08480523484109,25.08480523484109
SCA,2026-08-02,2026-08-03,5.5,6.698589793580348,0.16747916666666665,-0.0047499999999999765,-0.0015833333333333255,0.24302083333333332,-0.004312500000000025,-0.0017708333333333326,0.27775000000000005,-0.0015625000000000222,-0.0015625000000000222,0.5248456460600369,7.905155575856947,7.905155575856947,0.0010502115099563912,-0.00032264268447044933,-0.00032264268447044933,0.4794618335960001,7.909581173095795,7.909581173095795,0.0008351186791777253,-0.00026024050831102155,-0.00026024050831102155,0.12237799916344162,6.317914032974915,6.317914032974915,0.0010502115099563912,-0.00032264268447044933,-0.00032264268447044933,0.09062117671635059,6.293941604580356,6.293941604580356,0.0008351186791777253,-0.00026024050831102155,-0.00026024050831102155
SCA,2026-08-08,2026-08-09,3.6000000000000005,5.125686060096375,0.16560416666666666,-0.0016249999999999876,0.0009583333333333388,0.24,-0.0008958333333333179,0.001187500000000008,0.27537500000000004,-0.0009583333333333388,-0.0009583333333333388,6.586824181455601,3.514641461693291,3.514641461693291,0.0005110170213679734,-0.00015187055801252163,-0.00015187055801252163,6.68152530938627,3.176819250944458,3.176819250944458,0.00040824964956401387,-0.0001273504725428856,-0.0001273504725428856,4.468312333052795,2.941736714945364,2.941736714945364,0.0005110170213679734,-0.00015187055801252163,-0.00015187055801252163,4.5133838009408205,2.7137662439869485,2.7137662439869485,0.00040824964956401387,-0.0001273504725428856,-0.0001273504725428856
SCA,2026-08-20,2026-08-20,11.6,1.6368586758099293,0.16441666666666668,-0.004791666666666666,-0.0017083333333333395,0.23922916666666663,0.014333333333333337,0.014333333333333337,0.27227083333333335,-8.333333333332416e-05,-8.333333333332416e-05,4.241021532006455,4.9288231217006135,4.9288231217006135,0.00013341877822842046,-1.9928675343654903e-05,-1.9928675343654903e-05,4.046444097144087,4.822143913748211,4.822143913748211,0.00010143958649813593,-1.656108730738191e-05,-1.656108730738191e-05,2.3417254774783944,18.11519524663535,18.11519524663535,0.00013341877822842046,-1.9928675343654903e-05,-1.9928675343654903e-05,2.2163167332930076,17.66751870374773,17.66751870374773,0.00010143958649813593,-1.656108730738191e-05,-1.656108730738191e-05
