code,name,model,target_mode,channel,n,r,rho,change_r,change_n,span_pp,first30_r,last30_r
RDS,Ribera de Sió,simple_hg_one,depth,VWC_005,60,,,,59,0.0,,
RDS,Ribera de Sió,simple_hg_two,depth,VWC_005,60,0.06104195732164745,0.041347423351746376,0.08505794204601065,59,8.212688828315242,-0.10179886199033414,
RDS,Ribera de Sió,simple_pm_one,depth,VWC_005,60,,,,59,0.0,,
RDS,Ribera de Sió,simple_pm_two,depth,VWC_005,60,0.06104195732164745,0.041347423351746376,0.08505794204601065,59,12.403143023853366,-0.10179886199033412,
RDS,Ribera de Sió,regulated_hg_one,depth,VWC_005,60,-0.037524174580669895,-0.3119564312521618,-0.168066633020308,59,11.447536911448756,-0.5995381611360591,0.6400154790092316
RDS,Ribera de Sió,regulated_hg_two,depth,VWC_005,60,0.026373747053120455,-0.23887854631467315,-0.16615219862717723,59,27.897626334000822,-0.55416097668281,0.5256553704963993
RDS,Ribera de Sió,regulated_pm_one,depth,VWC_005,60,-0.049709909011957334,-0.31334574465401527,-0.15712317692686556,59,12.02857539340736,-0.6040375699913021,0.6431194314689798
RDS,Ribera de Sió,regulated_pm_two,depth,VWC_005,60,0.026900360886468105,-0.23835060722196882,-0.15519553287033871,59,29.781570755985697,-0.5646320638865914,0.5303639044845934
RDS,Ribera de Sió,simple_hg_one,depth,VWC_020,60,,,,59,0.0,,
RDS,Ribera de Sió,simple_hg_two,depth,VWC_020,60,,,,59,0.0,,
RDS,Ribera de Sió,simple_pm_one,depth,VWC_020,60,,,,59,0.0,,
RDS,Ribera de Sió,simple_pm_two,depth,VWC_020,60,,,,59,0.0,,
RDS,Ribera de Sió,regulated_hg_one,depth,VWC_020,60,-0.18004864565849665,-0.3460827767430858,-0.03054310381544666,59,11.447536911448756,-0.6982713040375379,0.7534980395767652
RDS,Ribera de Sió,regulated_hg_two,depth,VWC_020,60,0.7624943626919887,0.9786181705431345,0.1215184641554654,59,4.3015098437233785e-06,0.9157081164719476,0.8042696957144874
RDS,Ribera de Sió,regulated_pm_one,depth,VWC_020,60,-0.1953215562109033,-0.34825013576243224,-0.02701678672697369,59,12.02857539340736,-0.7081629412076679,0.7598069226991964
RDS,Ribera de Sió,regulated_pm_two,depth,VWC_020,60,0.7883196198789381,0.9786181705431345,0.1267022705600179,59,9.83728271757876e-06,0.9272941725908713,0.8072093982951063
RDS,Ribera de Sió,simple_hg_one,total,VWC_005,60,,,,59,0.0,,
RDS,Ribera de Sió,simple_hg_two,total,VWC_005,60,0.061041957321647446,0.041347423351746376,0.08505794204601065,59,2.7375629427717474,-0.10179886199033412,
RDS,Ribera de Sió,simple_pm_one,total,VWC_005,60,,,,59,0.0,,
RDS,Ribera de Sió,simple_pm_two,total,VWC_005,60,0.06104195732164745,0.041347423351746376,0.08505794204601065,59,4.134381007951122,-0.10179886199033412,
RDS,Ribera de Sió,regulated_hg_one,total,VWC_005,60,-0.037524174580669895,-0.3119564312521618,-0.168066633020308,59,11.447536911448756,-0.5995381611360591,0.6400154790092316
RDS,Ribera de Sió,regulated_hg_two,total,VWC_005,60,0.02637396363999616,-0.23887854631467315,-0.16615219168068235,59,9.299208564172897,-0.554160767261554,0.5256553714121273
RDS,Ribera de Sió,regulated_pm_one,total,VWC_005,60,-0.049709909011957334,-0.31334574465401527,-0.15712317692686556,59,12.02857539340736,-0.6040375699913021,0.6431194314689798
RDS,Ribera de Sió,regulated_pm_two,total,VWC_005,60,0.026900840477070927,-0.23835060722196882,-0.1551955171462971,59,9.927189664583734,-0.5646316362697175,0.5303639075608775
RDS,Ribera de Sió,simple_hg_one,total,VWC_020,60,,,,59,0.0,,
RDS,Ribera de Sió,simple_hg_two,total,VWC_020,60,0.04459418599696861,0.04134799782497445,0.07841893365964862,59,2.7375629427717474,-0.1742836101620744,
RDS,Ribera de Sió,simple_pm_one,total,VWC_020,60,,,,59,0.0,,
RDS,Ribera de Sió,simple_pm_two,total,VWC_020,60,0.04459418599696862,0.04134799782497445,0.07841893365964862,59,4.134381007951122,-0.1742836101620744,
RDS,Ribera de Sió,regulated_hg_one,total,VWC_020,60,-0.18004864565849665,-0.3460827767430858,-0.03054310381544666,59,11.447536911448756,-0.6982713040375379,0.7534980395767652
RDS,Ribera de Sió,regulated_hg_two,total,VWC_020,60,-0.06134691283269586,-0.273476249594978,-0.01043112694207823,59,9.299208564172897,-0.6353666412935695,0.6901823386843593
RDS,Ribera de Sió,regulated_pm_one,total,VWC_020,60,-0.1953215562109033,-0.34825013576243224,-0.02701678672697369,59,12.02857539340736,-0.7081629412076679,0.7598069226991964
RDS,Ribera de Sió,regulated_pm_two,total,VWC_020,60,-0.0633984942226431,-0.27261486331805823,-0.008465092979464482,59,9.927189664583734,-0.6528207367187011,0.6971114384093087
CDLP,Clot de Les Peres,simple_hg_one,depth,VWC_005,15,,,,14,8.61934980988593,,
CDLP,Clot de Les Peres,simple_hg_two,depth,VWC_005,15,,,,14,38.853825104623844,,
CDLP,Clot de Les Peres,simple_pm_one,depth,VWC_005,15,,,,14,10.012511406844107,,
CDLP,Clot de Les Peres,simple_pm_two,depth,VWC_005,15,,,,14,41.640148860885105,,
CDLP,Clot de Les Peres,regulated_hg_one,depth,VWC_005,15,,,,14,19.418999336496523,,
CDLP,Clot de Les Peres,regulated_hg_two,depth,VWC_005,15,,,,14,54.79836390524119,,
CDLP,Clot de Les Peres,regulated_pm_one,depth,VWC_005,15,,,,14,20.43498910125672,,
CDLP,Clot de Les Peres,regulated_pm_two,depth,VWC_005,15,,,,14,57.410863531274074,,
CDLP,Clot de Les Peres,simple_hg_one,depth,VWC_020,60,0.254251302719689,0.29971064559126426,0.2778320981780155,59,15.68827186311787,,0.17673848109798757
CDLP,Clot de Les Peres,simple_hg_two,depth,VWC_020,60,,,,59,0.0,,
CDLP,Clot de Les Peres,simple_pm_one,depth,VWC_020,60,0.2768723611900641,0.29971064559126426,0.3248512616958643,59,16.464366920152088,,0.20598850099109467
CDLP,Clot de Les Peres,simple_pm_two,depth,VWC_020,60,,,,59,0.0,,
CDLP,Clot de Les Peres,regulated_hg_one,depth,VWC_020,60,0.45670852117513017,0.08152264517921647,0.4306621759684926,59,27.579358152736177,-0.8118057940264974,0.5026616559834329
CDLP,Clot de Les Peres,regulated_hg_two,depth,VWC_020,60,-0.4045572118914725,-0.5499861072520146,0.046458039131633426,59,0.0011536599046321374,0.9667145132705872,-0.20587722268996173
CDLP,Clot de Les Peres,regulated_pm_one,depth,VWC_020,60,0.42233995912870265,0.04384551264240068,0.44283835555007317,59,27.77531723821988,-0.8092995850445881,0.4947960957256596
CDLP,Clot de Les Peres,regulated_pm_two,depth,VWC_020,60,-0.41781843586280726,-0.5499861072520146,0.048327277671824105,59,0.0018200366121419965,0.9659564166517793,-0.1955713519372016
CDLP,Clot de Les Peres,simple_hg_one,total,VWC_005,15,,,,14,8.61934980988593,,
CDLP,Clot de Les Peres,simple_hg_two,total,VWC_005,15,,,,14,12.951275034874616,,
CDLP,Clot de Les Peres,simple_pm_one,total,VWC_005,15,,,,14,10.012511406844107,,
CDLP,Clot de Les Peres,simple_pm_two,total,VWC_005,15,,,,14,13.880049620295036,,
CDLP,Clot de Les Peres,regulated_hg_one,total,VWC_005,15,,,,14,19.418999336496523,,
CDLP,Clot de Les Peres,regulated_hg_two,total,VWC_005,15,,,,14,18.266130994014453,,
CDLP,Clot de Les Peres,regulated_pm_one,total,VWC_005,15,,,,14,20.43498910125672,,
CDLP,Clot de Les Peres,regulated_pm_two,total,VWC_005,15,,,,14,19.136972502676944,,
CDLP,Clot de Les Peres,simple_hg_one,total,VWC_020,60,0.254251302719689,0.29971064559126426,0.2778320981780155,59,15.68827186311787,,0.17673848109798757
CDLP,Clot de Les Peres,simple_hg_two,total,VWC_020,60,0.36580286583869825,0.14493259603460157,0.4211905071857682,59,17.66388973702924,-0.22862143062104223,0.3269815211899375
CDLP,Clot de Les Peres,simple_pm_one,total,VWC_020,60,0.2768723611900641,0.29971064559126426,0.3248512616958643,59,16.464366920152088,,0.20598850099109467
CDLP,Clot de Les Peres,simple_pm_two,total,VWC_020,60,0.37194282384805666,0.1045875273878183,0.44399950422082657,59,18.181286418089442,-0.24779836048036064,0.3416529977194982
CDLP,Clot de Les Peres,regulated_hg_one,total,VWC_020,60,0.45670852117513017,0.08152264517921647,0.4306621759684926,59,27.579358152736177,-0.8118057940264974,0.5026616559834329
CDLP,Clot de Les Peres,regulated_hg_two,total,VWC_020,60,0.37351488631056795,-0.0005001389274798556,0.4154861500691168,59,23.393338833778593,-0.750190318002502,0.42953647064156875
CDLP,Clot de Les Peres,regulated_pm_one,total,VWC_020,60,0.42233995912870265,0.04384551264240068,0.44283835555007317,59,27.77531723821988,-0.8092995850445881,0.4947960957256596
CDLP,Clot de Les Peres,regulated_pm_two,total,VWC_020,60,0.34632663753485127,-0.035120866907474305,0.4311365896194965,59,23.735568681639133,-0.748847724279528,0.4264291329840598
SCA,Serra de Costa Ampla,simple_hg_one,depth,VWC_005,60,0.025059270995290997,0.1660890732279204,-0.20751159038329225,59,41.98577584541063,,-0.07629405008635767
SCA,Serra de Costa Ampla,simple_hg_two,depth,VWC_005,60,0.029479717984740472,0.1660890732279204,-0.20640267482028812,59,85.08992463768115,,-0.07188909080731787
SCA,Serra de Costa Ampla,simple_pm_one,depth,VWC_005,60,-0.007489599313421982,0.10665474422422958,-0.22217660195827404,59,42.63394009661835,,-0.10835388309628813
SCA,Serra de Costa Ampla,simple_pm_two,depth,VWC_005,60,-0.004431826144433923,0.10665474422422958,-0.2193953750981203,59,86.38625171168846,,-0.10528712518127772
SCA,Serra de Costa Ampla,regulated_hg_one,depth,VWC_005,60,0.3476101400274263,0.21961961129670574,-0.16985443449491536,59,50.817527915688885,-0.6535403754763189,0.3321080307480566
SCA,Serra de Costa Ampla,regulated_hg_two,depth,VWC_005,60,0.11865407367320738,-0.01906111504928392,-0.23738839600682354,59,85.84065864385195,-0.5817992378139437,0.11356578946855064
SCA,Serra de Costa Ampla,regulated_pm_one,depth,VWC_005,60,0.31847235574081456,0.2023367926951684,-0.18113533871582144,59,51.117186760560664,-0.6504092449993559,0.299313607310229
SCA,Serra de Costa Ampla,regulated_pm_two,depth,VWC_005,60,0.08509961782940116,-0.028147098461989237,-0.25103363768283143,59,87.02309055055458,-0.5777006340502234,0.0771653745489917
SCA,Serra de Costa Ampla,simple_hg_one,depth,VWC_020,60,0.4670170123286,0.4873796326212626,0.35582272945652715,59,41.98577584541063,,0.39575480481910164
SCA,Serra de Costa Ampla,simple_hg_two,depth,VWC_020,60,0.4568941942130645,0.4873796326212626,0.3516643247963238,59,20.433702648519226,,0.3850954064179479
SCA,Serra de Costa Ampla,simple_pm_one,depth,VWC_020,60,0.43434653882559593,0.4406463943438007,0.36069320048806464,59,42.63394009661835,,0.3624625284166539
