point,reference,model,n,pearson,spearman,daily_change_r,r_external_day_-2,r_external_day_-1,r_external_day_+1,r_external_day_+2,r_first30,r_last30
Vallcebre,SWI T=2,smi_legacy_pct,60,0.6871074263780053,0.7016067579059694,0.1474543046879994,0.5498412423038943,0.6123814243454548,0.7070915433447207,0.5799400204587877,0.7372312431118351,0.47548934427385825
Vallcebre,SWI T=2,smi_pct,60,0.7998392787768064,0.7687454586141231,0.1545904137603874,0.786738600542749,0.7943553063341817,0.7790861450981021,0.6716245365180202,0.9079443063001131,0.5343692251457924
Vallcebre,SWI T=5,smi_legacy_pct,60,0.6185737722769923,0.645432137654279,0.17216068402266976,0.4375310966078798,0.5272669999579326,0.6664731127328201,0.6287597977789798,0.7265192622663412,0.41650408862454275
Vallcebre,SWI T=5,smi_pct,60,0.884333506874901,0.8730048321242622,0.21682242439935773,0.8112966670499703,0.8528969611624593,0.892738919787893,0.8469221355436389,0.9059460513107112,0.8161158843023564
Vallcebre,SWI T=10,smi_legacy_pct,60,0.4689854015175331,0.5296869850258406,0.2039524254477069,0.25704386353000297,0.35895855294076395,0.5365110815437275,0.5404488564362918,0.6957414112237714,0.29381664369622285
Vallcebre,SWI T=10,smi_pct,60,0.8346333112294991,0.8366786324915139,0.27645146355589056,0.6963393229285575,0.7684243867070539,0.8763451924083262,0.8747977857929861,0.8576933059271616,0.8476216551309299
Vallcebre,SWI T=15,smi_legacy_pct,60,0.3653920214557087,0.41868156005506274,0.15011951849948932,0.14218730666166896,0.25173685043604827,0.44661251523337764,0.46974919891720157,0.6554881386139607,0.24792199222718583
Vallcebre,SWI T=15,smi_pct,60,0.7579541861161397,0.7575727873401096,0.22305833783167295,0.5880540331701032,0.6765406305992459,0.8198225816819222,0.8412030308286345,0.8037237566595735,0.822572751442542
Vallcebre,SWI T=20,smi_legacy_pct,60,0.30950342813867115,0.3499754840134399,0.20499733579800875,0.0841502289116425,0.19396794169862241,0.3844285464834776,0.41193140074857376,0.6205886155132094,0.2546557697218258
Vallcebre,SWI T=20,smi_pct,60,0.7034746084533843,0.7004721917339516,0.2726579013441735,0.5200563767424642,0.6144371523366363,0.7691991380098631,0.8013218848595637,0.7566817260952983,0.8166951838184019
Vallcebre,SWI T=40,smi_legacy_pct,60,0.20252284938552959,0.23224426628084988,0.19000667764511622,-0.029521847528283032,0.08228939881447103,0.2820806202552636,0.3124565845277556,0.5272180723366542,0.22681153537865517
Vallcebre,SWI T=40,smi_pct,60,0.589015928345088,0.5835175109342899,0.23584274904498592,0.38183560792993354,0.48725316783162764,0.6701664046189871,0.715781831743391,0.6267091394791187,0.7929752228233314
Vallcebre,SWI T=60,smi_legacy_pct,60,0.1398979739672371,0.17341615577954628,0.030165679610449518,-0.09860976846271664,0.017307680849191306,0.2493117125837649,0.2861191216966702,0.42669250329364816,0.16280074559958138
Vallcebre,SWI T=60,smi_pct,60,0.5103597020162561,0.5177913367596262,0.08413177956644387,0.2861800214413317,0.4016147470321556,0.6171257052762196,0.6786491030387272,0.5010553840983266,0.7536748709678083
Vallcebre,SWI T=100,smi_legacy_pct,60,0.11723753161015654,0.16517843287645584,0.04047440132794976,-0.12529195403410848,-0.008972130868302917,0.22839781081952748,0.2648451354591914,0.4108249075573077,0.2031719507247774
Vallcebre,SWI T=100,smi_pct,60,0.47468022485682615,0.4977009985410564,0.05688735602786304,0.2556970600216129,0.3659849956964708,0.5858802698041962,0.6418602664954338,0.4826097394980366,0.7012565122555972
Olvan,SWI T=2,smi_legacy_pct,60,0.7481926613223718,0.7994768850389207,0.05030563679604459,0.7036814843034507,0.7155871759839474,0.7676760673790997,0.705758092578332,0.8686778490059874,0.6297753946502682
Olvan,SWI T=2,smi_pct,60,0.8028358141101591,0.8048638443159493,0.06709312882145543,0.7485908438553917,0.7721406304179195,0.8209952532478041,0.7671297449460575,0.8960066026891723,0.5502095631055473
Olvan,SWI T=5,smi_legacy_pct,60,0.6774425299304336,0.7581845378853886,0.06467463125120211,0.5499465712537339,0.6131105732015085,0.7303631966369281,0.7346838460922832,0.9054638370899912,0.5438099121644231
Olvan,SWI T=5,smi_pct,60,0.7462384280292642,0.7575185256535526,0.0777581742818081,0.6151549500339962,0.6831182365218236,0.796726185409717,0.8039566774023765,0.8903345197368431,0.508036416121197
Olvan,SWI T=10,smi_legacy_pct,60,0.5018659094420137,0.5544382722307963,0.026511481453197712,0.3430691614042481,0.42286486652322985,0.5735332899360756,0.6115197153912189,0.8794040441877822,0.3461175947712448
Olvan,SWI T=10,smi_pct,60,0.5898250844509476,0.5926488900599428,0.029450922750433765,0.42899545550832124,0.5118166948421523,0.6574134119980063,0.6956460472811876,0.8295112079225356,0.3350407575279751
Olvan,SWI T=15,smi_legacy_pct,60,0.3974047221550565,0.4439530536992194,0.1342372423344859,0.2340808517665455,0.3121103012406673,0.4683386185270093,0.5119363030574995,0.8504443455506805,0.34521492459325587
Olvan,SWI T=15,smi_pct,60,0.49696477048348653,0.501823912914326,0.1356605517564433,0.33140733863728544,0.4124921056321762,0.5632863930752697,0.6058460219120128,0.7792553946079495,0.36987845739014225
Olvan,SWI T=20,smi_legacy_pct,60,0.3296075255648557,0.36970002673283364,0.031031942890929524,0.1708480925157979,0.24948198115202647,0.40409687292835517,0.4548651062916217,0.8064370550960855,0.3995371919413464
Olvan,SWI T=20,smi_pct,60,0.43325364195752114,0.43305060845895327,0.022408197480908165,0.2719510115205298,0.3535433112964084,0.5023955300882755,0.5508079859639131,0.7204824341545872,0.4587060422940888
Olvan,SWI T=40,smi_legacy_pct,60,0.2258811729715887,0.2673964104834082,0.00557565932596703,0.06732958332801404,0.1453401306985287,0.3056229502427032,0.35890925701808474,0.6666636055993449,0.43781034229601734
Olvan,SWI T=40,smi_pct,60,0.3321117353032492,0.362295699771284,0.030439747737373138,0.16848650431540363,0.2498866643146947,0.4057545074885621,0.4562453444743576,0.554866483583873,0.5704963990321928
Olvan,SWI T=60,smi_legacy_pct,60,0.1641472334014017,0.20974733038056761,0.035758100391935874,0.00036026323602674284,0.07943432674846476,0.2458495806199023,0.3085221657471901,0.5222722723763809,0.28094965980148645
Olvan,SWI T=60,smi_pct,60,0.25968971200766194,0.2962181749993271,0.028915792563318665,0.09078868105332139,0.17476559000408437,0.3354851068793416,0.3962148628342525,0.3888613424335837,0.4110804786911004
Olvan,SWI T=100,smi_legacy_pct,60,0.16308473817404184,0.20617850171719143,-0.10624428413757014,-0.00019546846187187134,0.07591761705904983,0.26867532517918374,0.3248132396232404,0.3691767988929737,0.5123662195454124
Olvan,SWI T=100,smi_pct,60,0.24065563261740963,0.2785683461126916,-0.10973808352188515,0.07883487439465606,0.1560351437066428,0.33862108165411575,0.3932219383728244,0.22664589941324698,0.589061556420573
XMS_Batlliu_de_Sort,VWC_005,smi_legacy_pct,60,0.31162620698038257,0.36406106492551893,0.1388970595688783,0.05720781338079286,0.17433452299196248,0.41363689362835254,0.4114698672729653,0.682960400890561,0.3312812320796803
XMS_Batlliu_de_Sort,VWC_005,smi_pct,60,0.7962175374219544,0.8279359258360248,0.250232102102211,0.6208023130227014,0.7065623000371863,0.8557969999311599,0.8611471379165221,0.8523634924900527,0.8996076585348151
XMS_Batlliu_de_Sort,VWC_020,smi_legacy_pct,60,0.4062696160191369,0.4003998690598914,0.21157142722185984,0.1158030624659605,0.24936953453073002,0.49970423960884947,0.4344846106859374,0.7790069296004247,0.26086826449176953
XMS_Batlliu_de_Sort,VWC_020,smi_pct,60,0.8051914721558874,0.8024118483744482,0.2709714373542157,0.6166792312762922,0.7108357125139214,0.8581744289127897,0.8329119394322175,0.8602520029929571,0.8570007110535265
XMS_Batlliu_de_Sort,VWC_050,smi_legacy_pct,60,0.023690258007056934,0.13427256755470257,-0.0688762799528464,-0.14185058622173174,-0.06315792775388585,0.10017763907493524,0.160172465780534,0.5608414700437393,0.19069271845311486
XMS_Batlliu_de_Sort,VWC_050,smi_pct,60,0.5988688317049518,0.685765095154837,0.0695392583218265,0.4211078406225216,0.5111099769511784,0.6676431733660562,0.7248385534395888,0.7981868193624585,0.8012584952765403
XMS_Cami_dels_Nerets,VWC_005,smi_legacy_pct,60,-0.12446706497387049,-0.1667802928403829,0.13171257699100403,-0.14510165251738283,-0.10595544499927159,-0.19893600763216654,-0.15531415127112402,-0.17171942704244036,-0.19240563070779135
XMS_Cami_dels_Nerets,VWC_005,smi_pct,60,-0.2827930525980784,-0.20236739011396587,-0.11579866143564205,-0.4413469966224695,-0.3537164128687582,-0.20495643866657165,-0.04514557004866311,-0.5258583782421333,-0.1890240317142634
XMS_Cami_dels_Nerets,VWC_020,smi_legacy_pct,60,-0.11115052803903072,-0.15862738860317133,0.2212551139262593,-0.1332444132626463,-0.09803098390809892,-0.2460763896178806,-0.2771536151030076,-0.013769803982580287,-0.19143573820177648
XMS_Cami_dels_Nerets,VWC_020,smi_pct,60,-0.6892879171992287,-0.7262268704898165,0.03845638451056489,-0.6992275414467315,-0.6879655014068439,-0.7097349784152319,-0.6069269129157286,-0.8227263917119197,-0.5654662984063057
XMS_Cami_dels_Nerets,VWC_050,smi_legacy_pct,60,-0.008635478198848134,-0.0011100271575284716,0.08186236297680216,0.028257111031237674,-0.03147634323934452,-0.03649552908641965,-0.05283519973210021,0.24492102570176064,-0.02759181950910177
XMS_Cami_dels_Nerets,VWC_050,smi_pct,60,-0.03206455467276784,-0.09245807666034563,0.020143123060752416,0.07872501167812607,0.004726263035361524,-0.10202814210797416,-0.14466757793342178,-0.002119741089557356,-0.14073226118493387
