scope,code,name,kind,profile,timing,model,n,mae_mm,bias_mm,observed_change_mm,predicted_change_mm,observed_per_day_mm,predicted_per_day_mm
all_valid,RDS,Ribera de Sió,daily,linear_5_20_50,end,regulated_hg_one,59,0.4031295322029645,0.09996575540011665,-0.09915254237288132,0.000813213027235328,-0.09915254237288132,0.000813213027235328
all_valid,RDS,Ribera de Sió,daily,linear_5_20_50,end,regulated_hg_two,59,0.38312641159508454,0.09893717619243639,-0.09915254237288132,-0.00021536618044493684,-0.09915254237288132,-0.00021536618044493684
all_valid,RDS,Ribera de Sió,daily,linear_5_20_50,end,regulated_pm_one,59,0.402648504548169,0.100510149229374,-0.09915254237288132,0.0013576068564926723,-0.09915254237288132,0.0013576068564926723
all_valid,RDS,Ribera de Sió,daily,linear_5_20_50,end,regulated_pm_two,59,0.38605113255342166,0.09885247871579197,-0.09915254237288132,-0.0003000636570893442,-0.09915254237288132,-0.0003000636570893442
all_valid,RDS,Ribera de Sió,daily,linear_5_20_50,mean,regulated_hg_one,59,0.3474690965338076,0.10114866500463637,-0.10033545197740104,0.000813213027235328,-0.10033545197740104,0.000813213027235328
all_valid,RDS,Ribera de Sió,daily,linear_5_20_50,mean,regulated_hg_two,59,0.33139825906674725,0.10012008579695611,-0.10033545197740104,-0.00021536618044493684,-0.10033545197740104,-0.00021536618044493684
all_valid,RDS,Ribera de Sió,daily,linear_5_20_50,mean,regulated_pm_one,59,0.3465916781383992,0.1016930588338937,-0.10033545197740104,0.0013576068564926723,-0.10033545197740104,0.0013576068564926723
all_valid,RDS,Ribera de Sió,daily,linear_5_20_50,mean,regulated_pm_two,59,0.33474290831486414,0.1000353883203117,-0.10033545197740104,-0.0003000636570893442,-0.10033545197740104,-0.0003000636570893442
all_valid,RDS,Ribera de Sió,daily,hold_20,end,regulated_hg_one,59,0.4124105221252134,0.10505050116282859,-0.10423728813559326,0.000813213027235328,-0.10423728813559326,0.000813213027235328
all_valid,RDS,Ribera de Sió,daily,hold_20,end,regulated_hg_two,59,0.3914997390869473,0.10402192195514832,-0.10423728813559326,-0.00021536618044493684,-0.10423728813559326,-0.00021536618044493684
all_valid,RDS,Ribera de Sió,daily,hold_20,end,regulated_pm_one,59,0.4120115690295063,0.10559489499208592,-0.10423728813559326,0.0013576068564926723,-0.10423728813559326,0.0013576068564926723
all_valid,RDS,Ribera de Sió,daily,hold_20,end,regulated_pm_two,59,0.39454448028062417,0.10393722447850391,-0.10423728813559326,-0.0003000636570893442,-0.10423728813559326,-0.0003000636570893442
all_valid,RDS,Ribera de Sió,daily,hold_20,mean,regulated_hg_one,59,0.35475487807806316,0.10616278929842181,-0.10534957627118649,0.000813213027235328,-0.10534957627118649,0.000813213027235328
all_valid,RDS,Ribera de Sió,daily,hold_20,mean,regulated_hg_two,59,0.33846040595940197,0.10513421009074154,-0.10534957627118649,-0.00021536618044493684,-0.10534957627118649,-0.00021536618044493684
all_valid,RDS,Ribera de Sió,daily,hold_20,mean,regulated_pm_one,59,0.35387745968265477,0.10670718312767916,-0.10534957627118649,0.0013576068564926723,-0.10534957627118649,0.0013576068564926723
all_valid,RDS,Ribera de Sió,daily,hold_20,mean,regulated_pm_two,59,0.34180505520751886,0.10504951261409715,-0.10534957627118649,-0.0003000636570893442,-0.10534957627118649,-0.0003000636570893442
all_valid,RDS,Ribera de Sió,daily,blocks_10_20,end,regulated_hg_one,59,0.41325797975233186,0.11267761980689636,-0.11186440677966104,0.000813213027235328,-0.11186440677966104,0.000813213027235328
all_valid,RDS,Ribera de Sió,daily,blocks_10_20,end,regulated_hg_two,59,0.39149973908694713,0.1116490405992161,-0.11186440677966104,-0.00021536618044493684,-0.11186440677966104,-0.00021536618044493684
all_valid,RDS,Ribera de Sió,daily,blocks_10_20,end,regulated_pm_one,59,0.4128590266566247,0.11322201363615371,-0.11186440677966104,0.0013576068564926723,-0.11186440677966104,0.0013576068564926723
all_valid,RDS,Ribera de Sió,daily,blocks_10_20,end,regulated_pm_two,59,0.39480193426885696,0.1115643431225717,-0.11186440677966104,-0.0003000636570893442,-0.11186440677966104,-0.0003000636570893442
all_valid,RDS,Ribera de Sió,daily,blocks_10_20,mean,regulated_hg_one,59,0.3521065729933179,0.11331321302723538,-0.11250000000000004,0.000813213027235328,-0.11250000000000004,0.000813213027235328
all_valid,RDS,Ribera de Sió,daily,blocks_10_20,mean,regulated_hg_two,59,0.3356489753940387,0.11228463381955511,-0.11250000000000004,-0.00021536618044493684,-0.11250000000000004,-0.00021536618044493684
all_valid,RDS,Ribera de Sió,daily,blocks_10_20,mean,regulated_pm_one,59,0.3512431954070397,0.11385760685649272,-0.11250000000000004,0.0013576068564926723,-0.11250000000000004,0.0013576068564926723
all_valid,RDS,Ribera de Sió,daily,blocks_10_20,mean,regulated_pm_two,59,0.33875474212295154,0.1121999363429107,-0.11250000000000004,-0.0003000636570893442,-0.11250000000000004,-0.0003000636570893442
all_valid,RDS,Ribera de Sió,recharge_next,linear_5_20_50,end,regulated_hg_one,3,2.5888008686014325,2.5888008686014325,-0.7249999999999991,1.8638008686014333,-0.36249999999999954,0.9319004343007167
