observation_id,species_id,observed_at,analysis_result,flush_abundance,month,season,validation_status,calibration_use,source_quality,latitude,longitude,altitude_m,weather_method,weather_source,weather_station_code,weather_station_name,weather_station_distance_km,weather_station_coverage_days_90d,weather_summary_window_days,rain_1d_mm,rain_7d_mm,rain_14d_mm,rain_21d_mm,rain_30d_mm,rain_60d_mm,rain_90d_mm,temp_min_7d_c,temp_max_7d_c,temp_mean_7d_c,temp_min_14d_c,temp_max_14d_c,temp_mean_14d_c,temp_min_21d_c,temp_max_21d_c,temp_mean_21d_c,temp_min_30d_c,temp_max_30d_c,temp_mean_30d_c,temp_min_c,temp_max_c,temp_mean_c,humidity_min_7d_pct,humidity_max_7d_pct,humidity_mean_7d_pct,humidity_min_14d_pct,humidity_max_14d_pct,humidity_mean_14d_pct,humidity_min_21d_pct,humidity_max_21d_pct,humidity_mean_21d_pct,humidity_min_30d_pct,humidity_max_30d_pct,humidity_mean_30d_pct,humidity_min_pct,humidity_max_pct,humidity_mean_pct,wind_avg_kmh,wind_gust_kmh,wind_direction_deg,data_gaps,observed_host_ids,observed_forest_type_ids,observed_soil_tendency_ids,observed_habitat_feature_ids,observed_aspect_ids
obs_20250410_0001,hygrophorus_marzuolus,2025-04-10,present,very_abundant,4,spring,valid,include,1,42.39006666666667,1.2861083333333332,1709.6,nearest_station_single_source_daily,meteoclimatic,ESCAT2500000025566A,Rubió,5.54,38,7,,0.0,0.8,2.1,9.2,49.0,56.9,1.5,10.4,5.45,-4.5,10.4,3.34,-4.5,10.5,2.96,-7.0,10.5,2.02,1.5,10.4,5.45,25.0,88.0,56.0,25.0,95.0,67.9,25.0,99.0,73.85,25.0,99.0,79.59,25.0,88.0,56.0,,,,"rain_1d_coverage_0/1,rain_7d_coverage_3/7,rain_14d_coverage_5/14,rain_21d_coverage_10/21,rain_30d_coverage_16/30,rain_60d_coverage_25/60,rain_90d_coverage_38/90,wind_no_data_7d",,,,,
obs_20250403_0001,hygrophorus_marzuolus,2025-04-03,present,abundant,4,spring,valid,include,1,42.36963611111111,1.319786111111111,1403.1,nearest_station_single_source_daily,wunderground,IMONTF44,Cal Peretó,5.41,80,7,5.84,11.68,56.12,74.91,138.13,175.21,205.69,3.5,19.39,8.56,0.5,19.39,7.47,-3.0,19.39,6.49,-3.0,19.39,6.63,3.5,19.39,8.56,29.0,95.0,62.62,29.0,97.0,71.0,29.0,97.0,72.94,29.0,97.0,75.1,29.0,95.0,62.62,,,,"rain_7d_coverage_4/7,rain_14d_coverage_10/14,rain_21d_coverage_17/21,rain_30d_coverage_26/30,rain_60d_coverage_50/60,rain_90d_coverage_80/90,wind_no_data_7d",,,,,
obs_20250401_0001,hygrophorus_marzuolus,2025-04-01,present,abundant,4,spring,valid,include,1,42.3685,1.3215166666666667,1382.2,nearest_station_single_source_daily,wunderground,IMONTF44,Cal Peretó,5.23,80,7,0.0,0.0,47.74,78.97,126.45,163.53,194.01,4.39,19.39,8.08,0.5,19.39,7.54,-3.0,19.39,6.18,-3.0,19.39,6.6,4.39,19.39,8.08,29.0,81.0,58.0,29.0,97.0,73.25,29.0,97.0,74.06,29.0,97.0,74.87,29.0,81.0,58.0,,,,"rain_7d_coverage_3/7,rain_14d_coverage_10/14,rain_21d_coverage_17/21,rain_30d_coverage_26/30,rain_60d_coverage_50/60,rain_90d_coverage_80/90,wind_no_data_7d",,,,,
obs_20250401_0002,hygrophorus_marzuolus,2025-04-01,present,scarce,4,spring,valid,include,1,42.39173611111111,1.3065277777777777,1378.0,nearest_station_single_source_daily,meteoclimatic,ESCAT2500000025566A,Rubió,7.23,39,7,,0.8,9.0,9.2,39.1,49.8,57.9,-4.5,10.5,2.38,-4.5,10.5,2.49,-7.0,10.5,1.21,-7.0,10.5,1.15,-4.5,10.5,2.38,48.0,95.0,72.33,48.0,99.0,82.12,48.0,99.0,84.62,48.0,99.0,85.57,48.0,95.0,72.33,,,,"rain_1d_coverage_0/1,rain_7d_coverage_3/7,rain_14d_coverage_8/14,rain_21d_coverage_12/21,rain_30d_coverage_14/30,rain_60d_coverage_24/60,rain_90d_coverage_39/90,wind_no_data_7d",,,,,
obs_20250904_0001,boletus_aereus,2025-09-04,present,very_scarce,9,autumn,valid,include,1,42.067169444444446,1.9453972222222222,757.8,nearest_station_single_source_daily,wunderground,IOLVAN3,Sainlogic pro,1.31,90,7,0.0,4.57,22.85,93.2,95.74,244.07,271.25,10.28,28.72,19.16,10.28,33.11,20.63,10.28,37.72,21.75,10.28,37.72,22.88,10.28,28.72,19.16,33.0,96.0,68.71,33.0,96.0,69.36,18.0,97.0,66.74,18.0,97.0,65.13,33.0,96.0,68.71,,,,wind_no_data_7d,,,,,
obs_20260612_0001,morchella_elata_complex,2026-06-12,absent,absent,6,summer,valid,include,1,42.26918055555556,1.51715,1802.5,nearest_station_single_source_daily,wunderground,ILAVAN3,Fórnols de Cadí (Cal Puchini),2.15,90,7,0.0,0.25,11.93,11.93,32.0,153.9,168.12,8.11,26.22,16.69,8.11,26.22,17.01,8.11,29.11,17.93,-0.11,29.11,16.06,8.11,26.22,16.69,18.0,97.0,61.57,18.0,99.0,63.57,18.0,99.0,58.43,18.0,99.0,60.53,18.0,97.0,61.57,4.79,37.5,,,"host_pinus_uncinata,host_pinus_sylvestris",,,,
obs_20250904_0002,boletus_aereus,2025-09-04,present,normal,9,autumn,valid,include,1,42.027855555555554,1.7323055555555558,784.1,nearest_station_single_source_daily,meteoclimatic,ESCAT0800000008614A,L'Espunyola,3.97,53,7,,6.8,12.6,61.4,61.4,155.2,222.2,11.0,26.6,17.46,11.0,31.2,19.3,11.0,31.2,18.85,11.0,32.8,19.37,11.0,26.6,17.46,38.0,96.0,73.92,38.0,96.0,71.09,38.0,96.0,73.38,36.0,96.0,72.18,38.0,96.0,73.92,,,,"rain_1d_coverage_0/1,rain_7d_coverage_6/7,rain_14d_coverage_11/14,rain_21d_coverage_13/21,rain_30d_coverage_14/30,rain_60d_coverage_32/60,rain_90d_coverage_53/90,wind_no_data_7d",,,,,
obs_20250909_0001,boletus_pinophilus,2025-09-09,present,exceptional,9,autumn,valid,include,1,42.399375,1.2803222222222221,1717.8,nearest_station_single_source_daily,wunderground,IMONTF106,Era del mallador,3.91,42,7,39.37,42.93,107.45,148.85,240.55,240.55,240.55,8.78,27.22,17.76,7.22,27.22,16.83,7.22,28.5,17.39,7.22,34.5,19.33,8.78,27.22,17.76,34.0,93.0,67.29,30.0,98.0,68.96,29.0,98.0,68.12,15.0,98.0,62.17,34.0,93.0,67.29,,,,"rain_60d_coverage_42/60,rain_90d_coverage_42/90,wind_no_data_7d",host_pinus_uncinata,,,,
obs_20250913_0001,boletus_pinophilus,2025-09-13,present,normal,9,autumn,valid,include,1,42.349297222222226,1.9111583333333333,1694.9,nearest_station_single_source_daily,meteoclimatic,ESCAT1700000017537A,La Molina,2.59,53,7,,20.6,50.1,69.4,94.8,165.2,248.7,8.0,23.4,15.01,7.4,24.5,14.46,6.3,26.5,14.93,6.3,26.5,14.66,8.0,23.4,15.01,45.0,96.0,76.0,39.0,98.0,74.83,34.0,98.0,72.85,31.0,98.0,73.59,45.0,96.0,76.0,,,,"rain_1d_coverage_0/1,rain_7d_coverage_4/7,rain_14d_coverage_9/14,rain_21d_coverage_13/21,rain_30d_coverage_17/30,rain_60d_coverage_30/60,rain_90d_coverage_53/90,wind_no_data_7d",host_pinus_uncinata,,,,
obs_20250913_0002,lactarius_sanguifluus,2025-09-13,present,scarce,9,autumn,valid,include,1,42.349297222222226,1.9111583333333333,1694.9,nearest_station_single_source_daily,meteoclimatic,ESCAT1700000017537A,La Molina,2.59,53,7,,20.6,50.1,69.4,94.8,165.2,248.7,8.0,23.4,15.01,7.4,24.5,14.46,6.3,26.5,14.93,6.3,26.5,14.66,8.0,23.4,15.01,45.0,96.0,76.0,39.0,98.0,74.83,34.0,98.0,72.85,31.0,98.0,73.59,45.0,96.0,76.0,,,,"rain_1d_coverage_0/1,rain_7d_coverage_4/7,rain_14d_coverage_9/14,rain_21d_coverage_13/21,rain_30d_coverage_17/30,rain_60d_coverage_30/60,rain_90d_coverage_53/90,wind_no_data_7d",,,,,
obs_20250913_0003,cantharellus_cibarius_sl,2025-09-13,present,very_scarce,9,autumn,valid,include,1,42.349297222222226,1.9111583333333333,1694.9,nearest_station_single_source_daily,meteoclimatic,ESCAT1700000017537A,La Molina,2.59,53,7,,20.6,50.1,69.4,94.8,165.2,248.7,8.0,23.4,15.01,7.4,24.5,14.46,6.3,26.5,14.93,6.3,26.5,14.66,8.0,23.4,15.01,45.0,96.0,76.0,39.0,98.0,74.83,34.0,98.0,72.85,31.0,98.0,73.59,45.0,96.0,76.0,,,,"rain_1d_coverage_0/1,rain_7d_coverage_4/7,rain_14d_coverage_9/14,rain_21d_coverage_13/21,rain_30d_coverage_17/30,rain_60d_coverage_30/60,rain_90d_coverage_53/90,wind_no_data_7d",,,,,
