code,name,channel,model,n,pearson,spearman,change_r,first30_r,last30_r
SCA,Serra de Costa Ampla,VWC_005,idw_regulated_hg,60,0.3476101400274263,0.21961961129670574,-0.16985443449491536,-0.6535403754763189,0.3321080307480566
SCA,Serra de Costa Ampla,VWC_005,idw_regulated_pm,60,0.31847235574081456,0.2023367926951684,-0.18113533871582144,-0.6504092449993559,0.299313607310229
SCA,Serra de Costa Ampla,VWC_005,gauge_recent_simple_hg,60,0.20119989274591582,0.16799740780199046,-0.12254074569902255,,0.09471138782865755
SCA,Serra de Costa Ampla,VWC_005,gauge_recent_simple_pm,60,0.16322834664850341,0.22579955392899598,-0.13561580146969904,,0.055667436017131165
SCA,Serra de Costa Ampla,VWC_005,gauge_recent_regulated_hg,60,0.42010606004457063,0.2120896372757787,-0.12048626992657296,-0.5703307489750367,0.3480405328198041
SCA,Serra de Costa Ampla,VWC_005,gauge_recent_regulated_pm,60,0.3936027691625961,0.21411800666148967,-0.1316868094853652,-0.5692363497805857,0.31406507045751814
SCA,Serra de Costa Ampla,VWC_020,idw_simple_hg,60,0.4670170123286,0.4873796326212626,0.35582272945652715,,0.39575480481910164
SCA,Serra de Costa Ampla,VWC_020,idw_simple_pm,60,0.43434653882559593,0.4406463943438007,0.36069320048806464,,0.3624625284166539
SCA,Serra de Costa Ampla,VWC_020,idw_regulated_hg,60,0.7616545003544455,0.4375164979096569,0.4410797042919064,-0.6505642348874158,0.7503786227749867
SCA,Serra de Costa Ampla,VWC_020,idw_regulated_pm,60,0.7392390634546222,0.4033676489365229,0.44527280424445603,-0.6473930625779152,0.7293359085447281
SCA,Serra de Costa Ampla,VWC_020,gauge_recent_simple_hg,60,0.6392482805975545,0.543446160086742,0.4114684927166335,,0.5620116806592707
SCA,Serra de Costa Ampla,VWC_020,gauge_recent_simple_pm,60,0.6071918658522414,0.5532994904627732,0.4103539045251807,,0.5298244739107334
SCA,Serra de Costa Ampla,VWC_020,gauge_recent_regulated_hg,60,0.8358568013219787,0.6318787424719616,0.4466674680598353,-0.5487838070911917,0.7610585084169921
SCA,Serra de Costa Ampla,VWC_020,gauge_recent_regulated_pm,60,0.8176969678106548,0.6212645355494741,0.45012501393866616,-0.5480794041626276,0.7394722776836533
SCA,Serra de Costa Ampla,VWC_050,idw_simple_hg,60,0.16350684345495659,0.2744655503464563,-0.00032212173696802293,,0.007834085529054957
SCA,Serra de Costa Ampla,VWC_050,idw_simple_pm,60,0.13521674783506576,0.205200155387567,0.005594404866703873,,-0.019171236656763763
SCA,Serra de Costa Ampla,VWC_050,idw_regulated_hg,60,0.4400151548467657,0.28120093943316166,0.0911215082823051,-0.662544051206256,0.3507443364043857
SCA,Serra de Costa Ampla,VWC_050,idw_regulated_pm,60,0.40987787788310037,0.24530058234347343,0.09420438088832275,-0.6569359672536785,0.3209642176790545
SCA,Serra de Costa Ampla,VWC_050,gauge_recent_simple_hg,60,0.31264983015585845,0.24319334607229529,0.0865648316794927,,0.13628833041381733
SCA,Serra de Costa Ampla,VWC_050,gauge_recent_simple_pm,60,0.28361517837802586,0.3001274038303772,0.08736876433302927,,0.11005966386424294
SCA,Serra de Costa Ampla,VWC_050,gauge_recent_regulated_hg,60,0.5327017509868421,0.41724439787829604,0.11740829256405509,-0.5486430036796536,0.34558154582277123
SCA,Serra de Costa Ampla,VWC_050,gauge_recent_regulated_pm,60,0.5048734417653613,0.4036567240262391,0.11895719465522638,-0.5460903646303839,0.31445013534695976
CMN,Camí dels Nerets,VWC_005,idw_simple_hg,60,-0.12426195751919518,-0.1667802928403829,0.13177084390816488,-0.17171942704244034,-0.19210797619020334
CMN,Camí dels Nerets,VWC_005,idw_simple_pm,60,-0.13630967906559568,-0.2268557689234492,0.12205547548292209,-0.1792103339460744,-0.21821071245154433
CMN,Camí dels Nerets,VWC_005,idw_regulated_hg,60,-0.29620499703975184,-0.2010336492481866,-0.10815242608562912,-0.5510403265307605,-0.20127197224415416
CMN,Camí dels Nerets,VWC_005,idw_regulated_pm,60,-0.28250567011515415,-0.20236739011396587,-0.11569264285696715,-0.5255761769930755,-0.1890071324562818
CMN,Camí dels Nerets,VWC_020,idw_simple_hg,60,-0.11098655893028711,-0.15862738860317133,0.22137005407334687,-0.013769803982580289,-0.19104579572425914
CMN,Camí dels Nerets,VWC_020,idw_simple_pm,60,-0.13323459850253885,-0.19766790045848695,0.2143467660929718,-0.020975116685243718,-0.22603595353269323
CMN,Camí dels Nerets,VWC_020,idw_regulated_hg,60,-0.6872149102164073,-0.7186405868882355,0.04846618276876955,-0.8096872450268053,-0.5766744614679438
CMN,Camí dels Nerets,VWC_020,idw_regulated_pm,60,-0.689248093367012,-0.7262268704898165,0.03858856272826967,-0.8227482926621938,-0.5654600529949529
CMN,Camí dels Nerets,VWC_050,idw_simple_hg,60,-0.008782099762358553,-0.0011100271575284716,0.08160492810141803,0.24492102570176064,-0.027573016255696185
CMN,Camí dels Nerets,VWC_050,idw_simple_pm,60,-0.01794593322439335,0.03402993509198779,0.09218502655917199,0.23579088234843026,-0.02901971892334381
CMN,Camí dels Nerets,VWC_050,idw_regulated_hg,60,-0.03150292883491008,-0.0909767350451708,0.020655453910312517,0.015344809466070537,-0.15079386527777172
CMN,Camí dels Nerets,VWC_050,idw_regulated_pm,60,-0.03233370548762331,-0.09245807666034563,0.02009701752702457,-0.002450798081962309,-0.14042411123756499
EBX,El Boixer,VWC_005,idw_simple_hg,60,0.6721597312972523,0.7219570458919595,0.17167548880555422,0.7938431372146689,0.7397284296811453
EBX,El Boixer,VWC_005,idw_simple_pm,60,0.6698258387894511,0.7169309991379901,0.17201770120291615,0.798222072262949,0.7444135028079502
EBX,El Boixer,VWC_005,idw_regulated_hg,60,0.7518748637452319,0.7949986107252016,0.28282096917719507,0.8772673090541473,0.7362266488557431
EBX,El Boixer,VWC_005,idw_regulated_pm,60,0.7413341891750713,0.7824395665462629,0.2850845797969884,0.8761992739996073,0.7340233147689509
EBX,El Boixer,VWC_005,gauge_recent_simple_hg,60,0.8244937786890358,0.8578108548222602,0.4588549467490436,0.8120826227270272,0.8350026734172249
EBX,El Boixer,VWC_005,gauge_recent_simple_pm,60,0.8295930411648509,0.8692934082230881,0.4541417604497411,0.8364325960781226,0.8348125060180066
EBX,El Boixer,VWC_005,gauge_recent_regulated_hg,60,0.903702061651741,0.922311753264796,0.4880708622891394,0.9357126210467727,0.8521622461771999
EBX,El Boixer,VWC_005,gauge_recent_regulated_pm,60,0.9000806080807502,0.9167546540705753,0.48504374658724475,0.9352106509588645,0.8428466691376894
EBX,El Boixer,VWC_020,idw_simple_hg,60,0.38035863961482375,0.39987206774887707,0.16939303606594006,0.6465303875033903,0.7735283351879972
EBX,El Boixer,VWC_020,idw_simple_pm,60,0.3664227385247809,0.36960346537468686,0.17792543800814564,0.643564690547688,0.7721436896824836
EBX,El Boixer,VWC_020,idw_regulated_hg,60,0.43476622459103453,0.47533308330626833,0.17747315793070625,0.5620365599236224,0.819527993254936
EBX,El Boixer,VWC_020,idw_regulated_pm,60,0.4195887707232254,0.4615234999542361,0.1868394691926816,0.5636878661938445,0.8236883209290715
EBX,El Boixer,VWC_020,gauge_recent_simple_hg,60,0.7011975255923755,0.5929043447076667,0.2781403845478002,0.5149830693528319,0.8382386289427242
EBX,El Boixer,VWC_020,gauge_recent_simple_pm,60,0.6660133657726521,0.5507039174988239,0.28260995619115925,0.49755483320001953,0.8312246732272255
EBX,El Boixer,VWC_020,gauge_recent_regulated_hg,60,0.7332381392007359,0.7363258728950786,0.20284297339696156,0.6966586389018414,0.7660806398779763
EBX,El Boixer,VWC_020,gauge_recent_regulated_pm,60,0.7149134189307503,0.7143194543542143,0.21217108009576746,0.6945675347214282,0.7770405492256878
EBX,El Boixer,VWC_050,idw_simple_hg,60,0.546381956091192,0.4646783307981982,-0.06099559286799963,0.5503958209153079,0.7242665201118257
EBX,El Boixer,VWC_050,idw_simple_pm,60,0.5393703276957986,0.46387094260055695,-0.0629268784560558,0.5482327476550728,0.7234317019302251
EBX,El Boixer,VWC_050,idw_regulated_hg,60,0.49977920165798395,0.42510976753475216,-0.07641569529896772,0.4286843966100944,0.7275042919496236
EBX,El Boixer,VWC_050,idw_regulated_pm,60,0.4965756308213429,0.43136219907451684,-0.07653026428974227,0.43701874574731014,0.7214424641129871
EBX,El Boixer,VWC_050,gauge_recent_simple_hg,60,0.45603757403695067,0.40986196637442857,-0.05829073775123535,0.21599458760349283,0.6544327324264192
EBX,El Boixer,VWC_050,gauge_recent_simple_pm,60,0.43777614022691225,0.4063935000112827,-0.059977960265740385,0.19738940932782262,0.6496974102933715
EBX,El Boixer,VWC_050,gauge_recent_regulated_hg,60,0.5799142749499123,0.5294559027872685,-0.05479425552634781,0.46004236666873355,0.6719535033019708
EBX,El Boixer,VWC_050,gauge_recent_regulated_pm,60,0.5804727139439447,0.5370699749734708,-0.05758577027975164,0.4662100922647334,0.6711451452683157
LCS,Los Coscolls,VWC_005,idw_simple_hg,60,0.014792165089891868,0.08038424215358587,-0.2909636850279991,-0.06274510501870992,0.13937903769235002
LCS,Los Coscolls,VWC_005,idw_simple_pm,60,0.011709681685569032,0.08038424215358587,-0.3070582853520713,-0.06729408682146601,0.13937903769235002
LCS,Los Coscolls,VWC_005,idw_regulated_hg,60,0.6770334204504884,0.8271138406594016,-0.0674175066086787,0.689799309313059,0.6859301261763959
LCS,Los Coscolls,VWC_005,idw_regulated_pm,60,0.6871194546107631,0.8323376590503705,-0.05322022909001884,0.7002538391756905,0.6949051864160747
LCS,Los Coscolls,VWC_005,gauge_recent_simple_hg,60,-0.11211602731447712,-0.041713465390603055,-0.4264356079015036,-0.14665318352868975,0.13937903769235002
LCS,Los Coscolls,VWC_005,gauge_recent_simple_pm,60,-0.09808362256560167,-0.041713465390603055,-0.3791948621298925,-0.13720057677680705,0.13937903769235
LCS,Los Coscolls,VWC_005,gauge_recent_regulated_hg,60,0.6179177080453451,0.789268943592915,-0.05524351103003243,0.5751844533743526,0.7936511682529455
LCS,Los Coscolls,VWC_005,gauge_recent_regulated_pm,60,0.628978159507803,0.7917697077162512,-0.03838923263676999,0.5888227332587773,0.7988399604627922
LCS,Los Coscolls,VWC_020,idw_simple_hg,60,0.12449554755475879,0.2928104734219364,-0.3000475200349413,0.16592989995558838,0.13768392230922785
LCS,Los Coscolls,VWC_020,idw_simple_pm,60,0.1181170953834408,0.2928104734219364,-0.3151082178154813,0.15148567502214966,0.13768392230922785
LCS,Los Coscolls,VWC_020,idw_regulated_hg,60,0.6615836691350578,0.7953153003726731,-0.13848260662702247,0.7084294434701913,0.43126043538921266
LCS,Los Coscolls,VWC_020,idw_regulated_pm,60,0.6628510556910981,0.8013170508838179,-0.1283392487819153,0.7116857748234855,0.4345944325400088
LCS,Los Coscolls,VWC_020,gauge_recent_simple_hg,60,0.008036820049811662,0.22982549455653967,-0.5180879607869762,-0.050336680952824064,0.13768392230922785
LCS,Los Coscolls,VWC_020,gauge_recent_simple_pm,60,0.09103809999699557,0.22982549455653967,-0.43327184538238195,0.03822831100174183,0.13768392230922785
LCS,Los Coscolls,VWC_020,gauge_recent_regulated_hg,60,0.7085884341287806,0.8177385071434778,-0.054298759230648364,0.7592917956751701,0.6127133143403528
LCS,Los Coscolls,VWC_020,gauge_recent_regulated_pm,60,0.7152525076597905,0.8197390906471929,-0.03789175719174001,0.7679118617962688,0.6075716749916502
LCS,Los Coscolls,VWC_050,idw_simple_hg,60,0.181604028146314,0.2474646475918883,-0.17676836669414125,0.27988390927317974,0.021006946027360494
LCS,Los Coscolls,VWC_050,idw_simple_pm,60,0.1850715752478982,0.2474646475918883,-0.1805170915881487,0.28101408202299977,0.021006946027360487
LCS,Los Coscolls,VWC_050,idw_regulated_hg,60,0.3743896861730874,0.2965464705426869,0.05027102559231786,0.3511216437929827,0.15315445669530478
LCS,Los Coscolls,VWC_050,idw_regulated_pm,60,0.3717265567008056,0.2947119905487027,0.05927009678079806,0.3494338080299258,0.1477177885546706
LCS,Los Coscolls,VWC_050,gauge_recent_simple_hg,60,0.26823900242332066,0.1961969178641122,-0.23198352662801616,0.24973129709363603,0.021006946027360487
LCS,Los Coscolls,VWC_050,gauge_recent_simple_pm,60,0.39851818669210065,0.1961969178641122,-0.07754411646533305,0.3975566795168935,0.021006946027360487
LCS,Los Coscolls,VWC_050,gauge_recent_regulated_hg,60,0.5607658190940332,0.34593845462314,0.2186263376873928,0.5889811221644088,0.3465531103390207
LCS,Los Coscolls,VWC_050,gauge_recent_regulated_pm,60,0.5586334691189232,0.34780072976854826,0.23134188041998563,0.5862933403124347,0.33119017488645275
PSN,Pessonada,VWC_005,idw_simple_hg,58,0.6121287365087219,0.4094028726798498,0.33870008028562315,-0.05246952233788493,0.7533841426400423
PSN,Pessonada,VWC_005,idw_simple_pm,58,0.6050356561843633,0.3662353302688843,0.3525569263266801,-0.052469522337884926,0.7455652998276084
PSN,Pessonada,VWC_005,idw_regulated_hg,58,0.740801440119033,0.6750438340151959,0.3543776382782088,0.3813786873641387,0.9029618201520493
PSN,Pessonada,VWC_005,idw_regulated_pm,58,0.7441075715885248,0.6863637761850565,0.3669259985916291,0.3869778172724058,0.9011764093547272
